"AccountExpirationDate","accountExpires","AccountLockoutTime","AccountNotDelegated","adminCount","AllowReversiblePasswordEncryption","AuthenticationPolicy","AuthenticationPolicySilo","BadLogonCount","badPasswordTime","badPwdCount","CannotChangePassword","CanonicalName","Certificates","City","CN","codePage","Company","CompoundIdentitySupported","Country","countryCode","Created","createTimeStamp","Deleted","Department","Description","DisplayName","DistinguishedName","Division","DoesNotRequirePreAuth","dSCorePropagationData","EmailAddress","EmployeeID","EmployeeNumber","Enabled","Fax","GivenName","HomeDirectory","HomedirRequired","HomeDrive","homeMDB","HomePage","HomePhone","Initials","instanceType","isCriticalSystemObject","isDeleted","KerberosEncryptionType","LastBadPasswordAttempt","LastKnownParent","lastLogoff","lastLogon","LastLogonDate","lastLogonTimestamp","legacyExchangeDN","LockedOut","logonCount","LogonWorkstations","mail","mailNickname","Manager","mDBUseDefaults","MemberOf","MNSLogonAccount","MobilePhone","Modified","modifyTimeStamp","msDS-User-Account-Control-Computed","msExchArchiveQuota","msExchArchiveWarnQuota","msExchCalendarLoggingQuota","msExchDumpsterQuota","msExchDumpsterWarningQuota","msExchELCMailboxFlags","msExchHomeServerName","msExchMailboxGuid","msExchMailboxSecurityDescriptor","msExchPoliciesIncluded","msExchRBACPolicyLink","msExchRecipientDisplayType","msExchRecipientTypeDetails","msExchTextMessagingState","msExchUMDtmfMap","msExchUserAccountControl","msExchUserCulture","msExchVersion","msExchWhenMailboxCreated","Name","nTSecurityDescriptor","ObjectCategory","ObjectClass","ObjectGUID","objectSid","Office","OfficePhone","Organization","OtherName","PasswordExpired","PasswordLastSet","PasswordNeverExpires","PasswordNotRequired","POBox","PostalCode","PrimaryGroup","primaryGroupID","PrincipalsAllowedToDelegateToAccount","ProfilePath","ProtectedFromAccidentalDeletion","protocolSettings","proxyAddresses","pwdLastSet","SamAccountName","sAMAccountType","ScriptPath","sDRightsEffective","ServicePrincipalNames","showInAddressBook","SID","SIDHistory","SmartcardLogonRequired","State","StreetAddress","Surname","Title","TrustedForDelegation","TrustedToAuthForDelegation","UseDESKeyOnly","userAccountControl","userCertificate","UserPrincipalName","uSNChanged","uSNCreated","whenChanged","whenCreated"
,"9223372036854775807",,"False","1","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","133221319975423744","0","False","powershell.lab/Users/Administrateur","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Administrateur","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","19/01/2023 02:33:06","19/01/2023 02:33:06",,,"Compte d’utilisateur d’administration","Administrateur","CN=Administrateur,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Administrateur@powershell.lab",,,"True",,,,"False",,"CN=Mailbox Database 1575952284,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=powershell,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=powershell,DC=lab",,,,"4","True",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","01/03/2023 09:13:17",,"0","133221328209250593","28/02/2023 08:52:51","133220443712345746","/o=powershell/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=6da0d2f50a5f42cb928191e6091b6edb-Administrateu","False","84",,"Administrateur@powershell.lab","Administrateur",,"True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"28/02/2023 08:52:51","28/02/2023 08:52:51","0","104857600","94371840","6291456","31457280","20971520","130","/o=powershell/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=SERV-EXCHANGE","System.Byte[]","System.DirectoryServices.ActiveDirectorySecurity","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","CN=Default Role Assignment Policy,CN=Policies,CN=RBAC,CN=powershell,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=powershell,DC=lab","1073741824","1","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","fr-FR","88218628259840","23/02/2023 19:47:14","Administrateur","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","5348896f-a768-4c72-9957-01bd7a0516e7","S-1-5-21-380670284-182084129-459501765-500",,,,,"False","19/01/2023 01:45:58","True","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","133185627586082833","Administrateur","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-500","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Administrateur@powershell.lab","46577","8196","28/02/2023 08:52:51","19/01/2023 02:33:06"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","False","powershell.lab/Users/Invité","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Invité","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","19/01/2023 02:33:06","19/01/2023 02:33:06",,,"Compte d’utilisateur invité",,"CN=Invité,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,,"4","True",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"19/01/2023 02:33:06","19/01/2023 02:33:06","0",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,,"Invité","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","2d468dd1-e8d0-4e89-a950-9f43f170af00","S-1-5-21-380670284-182084129-459501765-501",,,,,"False",,"True","True",,,"CN=Invités du domaine,CN=Users,DC=powershell,DC=lab","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","Invité","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-501","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66082","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"8197","8197","19/01/2023 02:33:06","19/01/2023 02:33:06"
,"9223372036854775807",,"False","1","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","False","powershell.lab/Users/krbtgt","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"krbtgt","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","19/01/2023 02:34:12","19/01/2023 02:34:12",,,"Compte de service du centre de distribution de clés",,"CN=krbtgt,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,,"4","True",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"23/02/2023 18:26:03","23/02/2023 18:26:03","0",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,,"krbtgt","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","59a08538-6a73-4fe6-a834-7969a652e0fe","S-1-5-21-380670284-182084129-459501765-502",,,,,"False","19/01/2023 02:34:12","False","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","133185656527312483","krbtgt","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-502","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"40214","12324","23/02/2023 18:26:03","19/01/2023 02:34:12"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","True","powershell.lab/Users/Bart Oie","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Bart Oie","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","02/02/2023 14:29:11","02/02/2023 14:29:11",,,,"Bart Oie","CN=Bart Oie,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"Bart",,"False",,,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"02/02/2023 14:44:57","02/02/2023 14:44:57","0",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,,"Bart Oie","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","0ff20847-b217-4393-9336-5e1d83b7a078","S-1-5-21-380670284-182084129-459501765-1108",,,,,"False","02/02/2023 14:29:12","True","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","133198181525487470","boie","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1108","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,"Oie",,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","boie@powershell.lab","18557","18483","02/02/2023 14:44:57","02/02/2023 14:29:11"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","True","powershell.lab/Users/Thibault Timeplé","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Thibault Timeplé","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","02/02/2023 14:33:03","02/02/2023 14:33:03",,,,"Thibault Timeplé","CN=Thibault Timeplé,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"Thibault",,"False",,,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"02/02/2023 14:33:05","02/02/2023 14:33:05","0",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,,"Thibault Timeplé","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","1f995d8a-553b-473f-87aa-caa855a6b3c5","S-1-5-21-380670284-182084129-459501765-1109",,,,,"False","02/02/2023 14:33:04","True","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","133198183849425309","ttimeple","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1109","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,"Timeplé",,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ttimeple@powershell.lab","18509","18503","02/02/2023 14:33:05","02/02/2023 14:33:03"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","True","powershell.lab/Users/Lara Ménepas","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Lara Ménepas","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","02/02/2023 14:38:37","02/02/2023 14:38:37",,,,"Lara Ménepas","CN=Lara Ménepas,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"Lara",,"False",,,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"02/02/2023 14:38:39","02/02/2023 14:38:39","0",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,,"Lara Ménepas","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","c4d7bf00-14bf-42e9-a0eb-7df6229ac101","S-1-5-21-380670284-182084129-459501765-1110",,,,,"False","02/02/2023 14:38:38","True","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","133198187187693224","lmenepas","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1110","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,"Ménepas",,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","lmenepas@powershell.lab","18521","18513","02/02/2023 14:38:39","02/02/2023 14:38:37"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","True","powershell.lab/Users/Kim M. Mesuive","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Kim M. Mesuive","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","02/02/2023 14:40:54","02/02/2023 14:40:54",,,,"Kim M. Mesuive","CN=Kim M. Mesuive,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"Kim",,"False",,,,,"M","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"02/02/2023 14:41:17","02/02/2023 14:41:17","0",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,,"Kim M. Mesuive","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","56a7d3b0-0e50-48f9-9e06-776f01314423","S-1-5-21-380670284-182084129-459501765-1111",,,,,"False","02/02/2023 14:41:17","True","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","133198188772365804","kmesuive","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1111","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,"Mesuive",,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","kmesuive@powershell.lab","18531","18523","02/02/2023 14:41:17","02/02/2023 14:40:54"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","False","powershell.lab/Users/Exchange Online-ApplicationAccount","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Exchange Online-ApplicationAccount","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","23/02/2023 17:58:21","23/02/2023 17:58:21",,,,,"CN=Exchange Online-ApplicationAccount,CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,,"False","0",,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"23/02/2023 17:58:21","23/02/2023 17:58:21","8388608",,,,,,,,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"12","33554432","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0",,"1130555651391488",,"Exchange Online-ApplicationAccount","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","dfb86b84-388e-4992-90d3-47e12d6811d0","S-1-5-21-380670284-182084129-459501765-1136",,,,,"True",,"False","True",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","$G31000-BV76SAFS1H79","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1136","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","546","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Exchange_Online-ApplicationAccount@powershell.lab","39369","39368","23/02/2023 17:58:21","23/02/2023 17:58:21"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","False","powershell.lab/Users/SystemMailbox{1f05a927-c532-497a-9039-9455da536580}","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"SystemMailbox{1f05a927-c532-497a-9039-9455da536580}","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","23/02/2023 17:58:25","23/02/2023 17:58:25",,,,"Assistant Approbation de Microsoft Exchange","CN=SystemMailbox{1f05a927-c532-497a-9039-9455da536580},CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SystemMailbox{1f05a927-c532-497a-9039-9455da536580}@powershell.lab",,,"False",,,,"False",,"CN=Mailbox Database 1575952284,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=powershell,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=powershell,DC=lab",,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,"/o=powershell/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=fe11f63397884b2c819039c2b7dcb73c-SystemMailbox","False","0",,"SystemMailbox{1f05a927-c532-497a-9039-9455da536580}@powershell.lab","SystemMailbox{1f05a927-c532-497a-9039-9455da536580}",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"23/02/2023 19:47:22","23/02/2023 19:47:22","8388608","104857600","94371840","6291456","31457280","20971520","130","/o=powershell/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=SERV-EXCHANGE","System.Byte[]","System.DirectoryServices.ActiveDirectorySecurity","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"10","8388608","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2",,"1126140425011200","23/02/2023 19:47:22","SystemMailbox{1f05a927-c532-497a-9039-9455da536580}","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","1d1a171c-bf48-43f7-90e5-b3f5545d4839","S-1-5-21-380670284-182084129-459501765-1137",,,,,"True",,"False","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","SM_106933ea54e24d2ba","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1137","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,"MSExchApproval 1f05a927-3be2-4fb9-aa03-b59fe3b56f4c",,"False","False","False","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SystemMailbox{1f05a927-c532-497a-9039-9455da536580}@powershell.lab","40582","39462","23/02/2023 19:47:22","23/02/2023 17:58:25"
,"9223372036854775807",,"False",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","0","0","False","powershell.lab/Users/SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","23/02/2023 17:58:25","23/02/2023 17:58:25",,,,"Microsoft Exchange","CN=SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c},CN=Users,DC=powershell,DC=lab",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}@powershell.lab",,,"False",,,,"False",,"CN=Mailbox Database 1575952284,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=powershell,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=powershell,DC=lab",,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"0","0",,,"/o=powershell/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=2f8f2244e249410ab0045be1365153d0-SystemMailbox","False","0",,"SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}@powershell.lab","SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"23/02/2023 19:50:15","23/02/2023 19:50:15","8388608","104857600","94371840","6291456","31457280","20971520","130","/o=powershell/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=SERV-EXCHANGE","System.Byte[]","System.DirectoryServices.ActiveDirectorySecurity","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"10","8388608","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2",,"1126140425011200","23/02/2023 19:47:27","SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=powershell,DC=lab","user","da4a4047-4804-45ee-96a9-3cc1f1d5cf10","S-1-5-21-380670284-182084129-459501765-1138",,,,,"True",,"False","False",,,"CN=Utilisateurs du domaine,CN=Users,DC=powershell,DC=lab","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","SM_eacac4f68bb84a248","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-380670284-182084129-459501765-1138","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,"SystemMailbox bb558c35-97f1-4cb9-8ff7-d53741dc928c",,"False","False","False","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SystemMailbox{bb558c35-97f1-4cb9-8ff7-d53741dc928c}@powershell.lab","40643","39467","23/02/2023 19:50:15","23/02/2023 17:58:25"
